state,candidate,party,votes
Delaware,Biden,DEM,44518
Delaware,Trump,REP,40976
Delaware,Jorgensen,LIB,1044
Delaware,Hawkins,GRN,420
Delaware,Biden,DEM,194238
Delaware,Trump,REP,87685
Delaware,Jorgensen,LIB,2932
Delaware,Hawkins,GRN,1278
Delaware,Trump,REP,71196
Delaware,Biden,DEM,56657
Delaware,Jorgensen,LIB,1003
Delaware,Hawkins,GRN,437
District of Columbia,Biden,DEM,29509
District of Columbia,Trump,REP,1149
District of Columbia,Hawkins,GRN,185
District of Columbia,Jorgensen,LIB,134
District of Columbia,Riva,PSL,73
District of Columbia,Biden,DEM,24247
District of Columbia,Trump,REP,2365
District of Columbia,Jorgensen,LIB,214
District of Columbia,Hawkins,GRN,92
District of Columbia,Riva,PSL,36
District of Columbia,Biden,DEM,33584
District of Columbia,Trump,REP,2972
District of Columbia,Jorgensen,LIB,248
District of Columbia,Hawkins,GRN,128
District of Columbia,Riva,PSL,55
District of Columbia,Biden,DEM,35117
District of Columbia,Trump,REP,1467
District of Columbia,Hawkins,GRN,186
District of Columbia,Jorgensen,LIB,100
District of Columbia,Riva,PSL,91
District of Columbia,Biden,DEM,36585
District of Columbia,Trump,REP,1416
District of Columbia,Hawkins,GRN,216
District of Columbia,Jorgensen,LIB,157
District of Columbia,Riva,PSL,92
District of Columbia,Biden,DEM,44699
District of Columbia,Trump,REP,3360
District of Columbia,Jorgensen,LIB,403
District of Columbia,Hawkins,GRN,166
District of Columbia,Riva,PSL,79
District of Columbia,Biden,DEM,30253
District of Columbia,Trump,REP,885
District of Columbia,Hawkins,GRN,186
District of Columbia,Jorgensen,LIB,91
District of Columbia,Riva,PSL,87
District of Columbia,Biden,DEM,24567
District of Columbia,Trump,REP,835
District of Columbia,Hawkins,GRN,143
District of Columbia,Riva,PSL,107
District of Columbia,Jorgensen,LIB,102
Florida,Biden,DEM,89527
Florida,Trump,REP,50891
Florida,Jorgensen,LIB,1389
Florida,Hawkins,GRN,301
Florida,Riva,PSL,94
Florida,Fuente,ALI,69
Florida,Blankenship,CST,52
Florida,Trump,REP,11911
Florida,Biden,DEM,2037
Florida,Jorgensen,LIB,93
Florida,Hawkins,GRN,10
Florida,Fuente,ALI,4
Florida,Riva,PSL,3
Florida,Blankenship,CST,1
Florida,Trump,REP,65993
Florida,Biden,DEM,25538
Florida,Jorgensen,LIB,997
Florida,Hawkins,GRN,141
Florida,Fuente,ALI,54
Florida,Blankenship,CST,52
Florida,Riva,PSL,45
Florida,Trump,REP,10334
Florida,Biden,DEM,3160
Florida,Jorgensen,LIB,110
Florida,Hawkins,GRN,11
Florida,Fuente,ALI,7
Florida,Blankenship,CST,6
Florida,Riva,PSL,3
Florida,Trump,REP,207857
Florida,Biden,DEM,148479
Florida,Jorgensen,LIB,3176
Florida,Hawkins,GRN,553
Florida,Fuente,ALI,222
Florida,Blankenship,CST,171
Florida,Riva,PSL,164
Florida,Biden,DEM,618597
Florida,Trump,REP,333346
Florida,Jorgensen,LIB,3111
Florida,Hawkins,GRN,1253
Florida,Fuente,ALI,426
Florida,Riva,PSL,417
Florida,Blankenship,CST,238
Florida,Trump,REP,5269
Florida,Biden,DEM,1206
Florida,Jorgensen,LIB,29
Florida,Fuente,ALI,4
Florida,Hawkins,GRN,4
Florida,Riva,PSL,4
Florida,Blankenship,CST,2
Florida,Trump,REP,73202
Florida,Biden,DEM,42240
Florida,Jorgensen,LIB,564
Florida,Hawkins,GRN,127
Florida,Fuente,ALI,49
Florida,Blankenship,CST,45
Florida,Riva,PSL,32
Florida,Trump,REP,65230
Florida,Biden,DEM,27049
Florida,Jorgensen,LIB,548
Florida,Hawkins,GRN,86
Florida,Blankenship,CST,49
Florida,Fuente,ALI,42
Florida,Riva,PSL,30
Florida,Trump,REP,84422
Florida,Biden,DEM,38248
Florida,Jorgensen,LIB,1280
Florida,Hawkins,GRN,153
Florida,Blankenship,CST,57
Florida,Riva,PSL,54
Florida,Fuente,ALI,45
Florida,Trump,REP,128936
Florida,Biden,DEM,77595
Florida,Jorgensen,LIB,889
Florida,Hawkins,GRN,186
Florida,Fuente,ALI,64
Florida,Riva,PSL,49
Florida,Blankenship,CST,39
Florida,Trump,REP,23835
Florida,Biden,DEM,8912
Florida,Jorgensen,LIB,224
Florida,Hawkins,GRN,28
Florida,Riva,PSL,20
Florida,Fuente,ALI,12
Florida,Blankenship,CST,8
Florida,Trump,REP,8313
Florida,Biden,DEM,4259
Florida,Jorgensen,LIB,52
Florida,Fuente,ALI,12
Florida,Riva,PSL,11
Florida,Hawkins,GRN,8
Florida,Blankenship,CST,4
Florida,Trump,REP,6757
Florida,Biden,DEM,1364
Florida,Jorgensen,LIB,27
Florida,Fuente,ALI,5
Florida,Hawkins,GRN,5
Florida,Blankenship,CST,4
Florida,Riva,PSL,2
Florida,Biden,DEM,252450
Florida,Trump,REP,233687
Florida,Jorgensen,LIB,4782
Florida,Hawkins,GRN,772
Florida,Riva,PSL,328
Florida,Fuente,ALI,319
Florida,Blankenship,CST,218
Florida,Trump,REP,96655
Florida,Biden,DEM,70893
Florida,Jorgensen,LIB,2141
Florida,Hawkins,GRN,255
Florida,Riva,PSL,137
Florida,Fuente,ALI,105
Florida,Blankenship,CST,92
Florida,Trump,REP,42991
Florida,Biden,DEM,28124
Florida,Jorgensen,LIB,358
Florida,Hawkins,GRN,69
Florida,Fuente,ALI,30
Florida,Riva,PSL,29
Florida,Blankenship,CST,20
Florida,Trump,REP,4675
Florida,Biden,DEM,2118
Florida,Jorgensen,LIB,27
Florida,Hawkins,GRN,12
Florida,Riva,PSL,8
Florida,Fuente,ALI,4
Florida,Blankenship,CST,3
Florida,Biden,DEM,16139
Florida,Trump,REP,7461
Florida,Jorgensen,LIB,96
Florida,Hawkins,GRN,21
Florida,Riva,PSL,10
Florida,Blankenship,CST,9
Florida,Fuente,ALI,8
Florida,Trump,REP,7895
Florida,Biden,DEM,1700
Florida,Jorgensen,LIB,61
Florida,Hawkins,GRN,13
Florida,Fuente,ALI,6
Florida,Blankenship,CST,5
Florida,Riva,PSL,2
Florida,Trump,REP,3781
Florida,Biden,DEM,1384
Florida,Jorgensen,LIB,21
Florida,Hawkins,GRN,4
Florida,Riva,PSL,1
Florida,Blankenship,CST,0
Florida,Fuente,ALI,0
Florida,Trump,REP,6111
Florida,Biden,DEM,1985
Florida,Jorgensen,LIB,48
Florida,Blankenship,CST,6
Florida,Fuente,ALI,6
Florida,Hawkins,GRN,5
Florida,Riva,PSL,0
Florida,Trump,REP,3811
Florida,Biden,DEM,1959
Florida,Jorgensen,LIB,33
Florida,Hawkins,GRN,8
Florida,Fuente,ALI,6
Florida,Blankenship,CST,2
Florida,Riva,PSL,2
Florida,Trump,REP,6122
Florida,Biden,DEM,2298
Florida,Jorgensen,LIB,40
Florida,Fuente,ALI,10
Florida,Hawkins,GRN,8
Florida,Riva,PSL,6
Florida,Blankenship,CST,1
Florida,Trump,REP,7898
Florida,Biden,DEM,4925
Florida,Jorgensen,LIB,65
Florida,Hawkins,GRN,13
Florida,Fuente,ALI,11
Florida,Riva,PSL,8
Florida,Blankenship,CST,7
Florida,Trump,REP,70321
Florida,Biden,DEM,37446
Florida,Jorgensen,LIB,685
Florida,Blankenship,CST,235
Florida,Hawkins,GRN,148
Florida,Fuente,ALI,62
Florida,Riva,PSL,44
Florida,Trump,REP,34846
Florida,Biden,DEM,16917
Florida,Jorgensen,LIB,221
Florida,Hawkins,GRN,53
Florida,Blankenship,CST,28
Florida,Fuente,ALI,28
Florida,Riva,PSL,24
Florida,Biden,DEM,376196
Florida,Trump,REP,327306
Florida,Jorgensen,LIB,5661
Florida,Hawkins,GRN,1186
Florida,Fuente,ALI,574
Florida,Riva,PSL,529
Florida,Blankenship,CST,270
Florida,Trump,REP,8074
Florida,Biden,DEM,924
Florida,Jorgensen,LIB,48
Florida,Hawkins,GRN,9
Florida,Blankenship,CST,4
Florida,Fuente,ALI,2
Florida,Riva,PSL,1
Florida,Trump,REP,58797
Florida,Biden,DEM,37801
Florida,Jorgensen,LIB,532
Florida,Hawkins,GRN,117
Florida,Fuente,ALI,43
Florida,Blankenship,CST,38
Florida,Riva,PSL,33
Florida,Trump,REP,15488
Florida,Biden,DEM,6766
Florida,Jorgensen,LIB,116
Florida,Fuente,ALI,13
Florida,Hawkins,GRN,13
Florida,Riva,PSL,13
Florida,Blankenship,CST,5
Florida,Trump,REP,4474
Florida,Biden,DEM,3893
Florida,Jorgensen,LIB,46
Florida,Hawkins,GRN,13
