state,Total Cases,New Cases,Total Deaths,New Deaths,Active Cases,Total Cases /1M pop,Deaths /1M pop,Total Tests,Tests /1M pop,Date
New York,188694,7550,9385,758,162220,9618,478,461601,"23,529",04-12-2020
New Jersey,61850,3699,2350,167,58818,6964,265,126735,"14,269",04-12-2020
Michigan,23993,,1392, ,22158,2410,140,76014,"7,634",04-12-2020
Massachusetts,22860,,686, ,21445,3347,100,108776,"15,926",04-12-2020
Pennsylvania,22833,1029,507,6,21676,1785,40,124890,"9,764",04-12-2020
California,22424,251,634,4,20850,573,16,182986,"4,674",04-12-2020
Louisiana,20595,581,840,34,19705,4416,180,104045,"22,310",04-12-2020
Florida,19347,361,452,6,18715,939,22,183222,"8,895",04-12-2020
Illinois,19180,,677, ,18453,1496,53,92779,"7,236",04-12-2020
Texas,13484,279,271,4,11596,484,10,124553,"4,467",04-12-2020
Georgia,12452,191,433,1,11988,1209,42,54453,"5,288",04-12-2020
Connecticut,11510,,494, ,10966,3214,138,39831,"11,121",04-12-2020
Washington,10448,,494, ,8880,1432,68,92999,"12,749",04-12-2020
Maryland,8225,531,235,29,7534,1370,39,47238,"7,868",04-12-2020
Indiana,7928,493,343,13,7571,1194,52,42489,"6,401",04-12-2020
Colorado,6893,,274, ,6579,1246,50,34873,"6,305",04-12-2020
Ohio,6250,,247, ,6003,537,21,60471,"5,194",04-12-2020
Virginia,5274,197,141,11,5131,627,17,39985,"4,752",04-12-2020
Tennessee,5114,,101, ,3627,769,15,66828,"10,048",04-12-2020
North Carolina,4520,165,87, ,4347,445,9,62139,"6,119",04-12-2020
Missouri,4024,,114, ,3726,661,19,45064,"7,400",04-12-2020
Arizona,3539,146,115,7,3384,509,17,42109,"6,062",04-12-2020
Alabama,3450,188,93, ,3337,709,19,20605,"4,236",04-12-2020
US Military,3366,,13, ,3054,,,0,,04-12-2020
Wisconsin,3213,,137, ,3011,556,24,37893,"6,558",04-12-2020
South Carolina,3207,,80, ,3127,647,16,30093,"6,072",04-12-2020
Nevada,2836,136,112,1,2474,970,38,29579,"10,120",04-12-2020
Mississippi,2781,139,96,3,2685,930,32,21101,"7,060",04-12-2020
Rhode Island,2665,316,63,7,2592,2522,60,20350,"19,260",04-12-2020
Utah,2206,,18, ,2162,724,6,42546,"13,971",04-12-2020
Oklahoma,1970,102,96,2,1352,503,25,22511,"5,745",04-12-2020
District Of Columbia,1875,97,50,3,1332,2739,73,10640,"15,544",04-12-2020
Kentucky,1840,,94, ,1440,414,21,24567,"5,533",04-12-2020
Minnesota,1621,194,70,6,709,293,13,37421,"6,770",04-12-2020
Iowa,1510,,34, ,1387,482,11,17132,"5,469",04-12-2020
Delaware,1479,,33, ,1255,1558,35,11103,"11,694",04-12-2020
Oregon,1447,,51, ,1396,354,12,28638,"7,016",04-12-2020
Idaho,1407,,27, ,1380,834,16,14308,"8,477",04-12-2020
Arkansas ,1280,52,27,2,886,428,9,19722,"6,595",04-12-2020
Kansas,1268,,55, ,1213,436,19,12343,"4,243",04-12-2020
New Mexico,1174,,20, ,983,561,10,28692,"13,712",04-12-2020
New Hampshire,929,,23, ,670,691,17,10925,"8,131",04-12-2020
Puerto Rico,897,109,44,2,849,265,13,7973,"2,354",04-12-2020
Nebraska,791,87,17, ,774,415,9,10710,"5,623",04-12-2020
South Dakota,730,104,6, ,528,845,7,8553,"9,896",04-12-2020
Vermont,727,16,27,2,700,1163,43,9841,"15,746",04-12-2020
Navajo Nation,698,140,24,2,674,,,0,,04-12-2020
Maine,633,17,19, ,348,475,14,6625,"4,971",04-12-2020
West Virginia,593,2,6, ,504,324,3,16124,"8,815",04-12-2020
Hawaii,486,,8, ,178,342,6,17953,"12,625",04-12-2020
Montana,387,10,6, ,212,371,6,8913,"8,556",04-12-2020
North Dakota,308,15,8,1,179,409,11,10350,"13,760",04-12-2020
Wyoming,261,,, ,124,449,,5614,"9,649",04-12-2020
Alaska,257,,8, ,186,348,11,7732,"10,470",04-12-2020
Guam,133,,5, ,70,,,605,,04-12-2020
