Date,Province,Confirmed Cases,Recovered,Deaths
2020/3/1,Hubei,570,2543,34
2020/3/1,Hunan,0,20,0
2020/3/1,Hainan,0,2,0
2020/3/1,Zhejiang,0,30,0
2020/3/1,Heilongjiang,0,41,0
2020/3/1,Shandong,2,22,0
2020/3/1,Sichuan,0,14,0
2020/3/1,Henan,0,28,1
2020/3/1,Tianjin,0,2,0
2020/3/1,Hebei,0,12,0
2020/3/1,Anhui,0,5,0
2020/3/1,Guangdong,0,33,0
2020/3/1,Gansu,0,2,0
2020/3/1,Hong Kong,2,6,0
2020/3/1,Liaoning,1,7,0
2020/3/1,Jiangsu,0,13,0
2020/3/1,Neimenggu,0,3,0
2020/3/1,Jiangxi,0,20,0
2020/3/1,Xinjiang,0,2,0
2020/3/1,Beijing,2,5,0
2020/3/1,Shanxi,0,2,0
2020/3/1,Yunnan,0,6,0
2020/3/1,Shanghai,0,3,0
2020/3/1,Taiwan,1,0,0
2020/3/1,Chongqing,0,20,0
2020/3/1,Jilin,0,3,0
2020/3/1,Shaanxi,0,1,0
2020/3/1,Fujian,0,4,0
2020/3/1,Guangxi,0,5,0
2020/3/2,Jiangsu,0,7,0
2020/3/2,Guangxi,0,11,0
2020/3/2,Heilongjiang,0,14,0
2020/3/2,Zhejiang,1,23,0
2020/3/2,Hunan,0,21,0
2020/3/2,Fujian,0,8,0
2020/3/2,Gansu,0,1,0
2020/3/2,Shanxi,0,2,0
2020/3/2,Anhui,0,44,0
2020/3/2,Sichuan,0,21,0
2020/3/2,Guangdong,1,43,0
2020/3/2,Hubei,196,2398,42
2020/3/2,Xinjiang,0,2,0
2020/3/2,Henan,0,7,0
2020/3/2,Jilin,0,5,0
2020/3/2,Neimenggu,0,2,0
2020/3/2,Hebei,0,2,0
2020/3/2,Shanghai,0,2,0
2020/3/2,Guizhou,0,2,0
2020/3/2,Hong Kong,2,0,0
2020/3/2,Jiangxi,0,19,0
2020/3/2,Chongqing,0,8,0
2020/3/2,Yunnan,0,5,0
2020/3/2,Taiwan,1,3,0
2020/3/2,Shandong,0,17,0
2020/3/2,Beijing,1,6,0
2020/3/2,Shaanxi,0,8,0
2020/3/2,Ningxia,1,0,0
2020/3/3,Heilongjiang,0,10,0
2020/3/3,Hainan,0,3,0
2020/3/3,Hubei,114,2274,32
2020/3/3,Hong Kong,2,1,0
2020/3/3,Macau,0,1,0
2020/3/3,Zhejiang,7,24,0
2020/3/3,Hunan,0,19,0
2020/3/3,Shanghai,1,2,0
2020/3/3,Fujian,0,5,0
2020/3/3,Liaoning,3,3,0
2020/3/3,Anhui,0,19,0
2020/3/3,Tianjin,0,13,0
2020/3/3,Henan,0,26,0
2020/3/3,Guangdong,0,42,0
2020/3/3,Jiangsu,0,19,0
2020/3/3,Gansu,0,1,0
2020/3/3,Sichuan,0,8,0
2020/3/3,Beijing,0,6,0
2020/3/3,Hebei,0,4,0
2020/3/3,Shanxi,0,3,0
2020/3/3,Chongqing,0,19,0
2020/3/3,Jiangxi,0,20,0
2020/3/3,Yunnan,0,1,0
2020/3/3,Taiwan,1,0,0
2020/3/3,Xinjiang,0,2,0
2020/3/3,Shandong,0,51,0
2020/3/3,Neimenggu,0,5,1
2020/3/3,Guangxi,0,10,0
2020/3/4,Jiangsu,0,15,0
2020/3/4,Fujian,0,10,0
2020/3/4,Heilongjiang,0,7,0
2020/3/4,Zhejiang,0,21,0
2020/3/4,Anhui,0,20,0
2020/3/4,Guangdong,0,32,0
2020/3/4,Sichuan,0,12,0
2020/3/4,Hubei,115,2349,36
2020/3/4,Gansu,0,1,0
2020/3/4,Xinjiang,0,1,0
2020/3/4,Neimenggu,0,4,0
2020/3/4,Shaanxi,0,7,0
2020/3/4,Hunan,0,10,0
2020/3/4,Hebei,0,1,0
2020/3/4,Shandong,0,5,0
2020/3/4,Jilin,0,3,0
2020/3/4,Hong Kong,2,0,0
2020/3/4,Hainan,0,6,0
2020/3/4,Chongqing,0,21,0
2020/3/4,Guangxi,0,8,0
2020/3/4,Henan,0,3,0
2020/3/4,Ningxia,1,0,0
2020/3/4,Jiangxi,0,14,0
2020/3/4,Beijing,3,6,0
2020/3/4,Shanghai,0,4,0
2020/3/4,Shanxi,0,4,0
2020/3/5,Fujian,0,7,0
2020/3/5,Guangxi,0,4,0
2020/3/5,Zhejiang,2,10,0
2020/3/5,Jilin,0,2,0
2020/3/5,Henan,0,10,0
2020/3/5,Shanxi,0,2,0
2020/3/5,Hebei,0,3,0
2020/3/5,Guangdong,1,55,0
2020/3/5,Jiangsu,0,6,0
2020/3/5,Sichuan,1,19,0
2020/3/5,Shandong,0,62,0
2020/3/5,Hubei,134,2035,31
2020/3/5,Gansu,11,0,0
2020/3/5,Hunan,0,22,0
2020/3/5,Taiwan,2,0,0
2020/3/5,Neimenggu,0,1,0
2020/3/5,Shanghai,1,5,0
2020/3/5,Shaanxi,0,1,0
2020/3/5,Beijing,1,3,0
2020/3/5,Hong Kong,3,6,0
2020/3/5,Heilongjiang,1,6,0
2020/3/5,Jiangxi,0,17,0
2020/3/5,Tianjin,0,4,0
2020/3/5,Anhui,0,14,0
2020/3/5,Xinjiang,0,1,0
2020/3/5,Hainan,0,0,1
2020/3/5,Chongqing,0,12,0
2020/3/6,Ningxia,0,2,0
2020/3/6,Zhejiang,0,23,0
2020/3/6,Chongqing,0,11,0
2020/3/6,Hunan,0,17,0
2020/3/6,Shandong,0,40,0
2020/3/6,Hong Kong,1,3,0
2020/3/6,Fujian,0,7,0
2020/3/6,Jiangsu,0,11,0
2020/3/6,Sichuan,0,17,0
2020/3/6,Beijing,4,2,0
2020/3/6,Guangdong,1,28,0
2020/3/6,Jiangxi,0,8,0
2020/3/6,Gansu,17,0,0
2020/3/6,Heilongjiang,0,17,0
2020/3/6,Hubei,126,1441,29
2020/3/6,Taiwan,1,0,0
2020/3/6,Shaanxi,0,2,0
2020/3/6,Jilin,0,2,0
2020/3/6,Henan,0,-1,0
2020/3/6,Guangxi,0,3,0
2020/3/6,Yunnan,0,1,0
2020/3/6,Anhui,0,9,0
2020/3/6,Hebei,0,1,0
2020/3/6,Xinjiang,0,1,0
2020/3/6,Shanghai,3,3,0
2020/3/6,Macau,0,1,0
2020/3/6,Neimenggu,0,1,0
2020/3/7,Hubei,74,1467,28
2020/3/7,Hunan,0,5,0
2020/3/7,Zhejiang,0,7,0
2020/3/7,Heilongjiang,0,7,0
2020/3/7,Hong Kong,2,5,0
2020/3/7,Guangdong,0,21,0
2020/3/7,Henan,0,1,0
2020/3/7,Guangxi,0,1,0
2020/3/7,Hebei,0,2,0
2020/3/7,Chongqing,0,8,0
2020/3/7,Sichuan,0,12,0
2020/3/7,Shandong,0,9,0
2020/3/7,Liaoning,0,1,0
2020/3/7,Jiangsu,0,12,0
2020/3/7,Gansu,1,0,0
2020/3/7,Fujian,0,11,0
2020/3/7,Xinjiang,0,1,0
2020/3/7,Shanghai,0,7,0
2020/3/7,Jiangxi,0,7,0
2020/3/7,Neimenggu,0,2,0
2020/3/7,Guizhou,0,1,0
2020/3/7,Beijing,4,4,0
2020/3/8,Neimenggu,0,3,0
2020/3/8,Liaoning,0,2,0
2020/3/8,Xinjiang,0,1,0
2020/3/8,Jiangxi,0,3,0
2020/3/8,Zhejiang,0,7,0
2020/3/8,Jiangsu,0,6,0
2020/3/8,Shandong,0,15,0
2020/3/8,Hong Kong,6,7,1
2020/3/8,Sichuan,0,10,0
2020/3/8,Gansu,4,0,0
2020/3/8,Heilongjiang,0,9,0
2020/3/8,Guangdong,0,19,0
2020/3/8,Hubei,41,1735,27
2020/3/8,Shaanxi,0,1,0
2020/3/8,Henan,0,3,0
2020/3/8,Hunan,0,8,0
2020/3/8,Anhui,0,5,0
2020/3/8,Shanghai,0,1,0
2020/3/8,Hainan,0,1,0
2020/3/8,Chongqing,0,5,0
2020/3/8,Guangxi,0,5,0
2020/3/8,Guizhou,0,2,0
2020/3/8,Beijing,2,5,0
2020/3/8,Taiwan,0,1,0
2020/3/9,Beijing,0,7,0
2020/3/9,Jiangsu,0,9,0
2020/3/9,Sichuan,0,2,0
2020/3/9,Zhejiang,0,15,0
2020/3/9,Guangdong,0,4,1
2020/3/9,Hong Kong,1,1,0
2020/3/9,Tianjin,0,2,0
2020/3/9,Chongqing,0,9,0
2020/3/9,Shanxi,0,1,0
2020/3/9,Gansu,0,1,0
2020/3/9,Heilongjiang,0,18,0
2020/3/9,Hubei,36,1253,22
2020/3/9,Jilin,0,1,0
2020/3/9,Hunan,0,11,0
2020/3/9,Shandong,0,58,0
2020/3/9,Taiwan,0,2,0
2020/3/9,Shanghai,0,1,0
2020/3/9,Guizhou,0,6,0
2020/3/9,Jiangxi,0,4,0
2020/3/9,Guangxi,0,7,0
2020/3/10,Liaoning,0,2,0
2020/3/10,Shanxi,0,1,0
2020/3/10,Shanghai,2,4,0
2020/3/10,Taiwan,2,2,0
2020/3/10,Shandong,0,19,0
2020/3/10,Jiangsu,0,6,0
2020/3/10,Shaanxi,0,1,0
2020/3/10,Sichuan,0,12,0
2020/3/10,Guangdong,1,14,0
2020/3/10,Tianjin,0,1,0
2020/3/10,Zhejiang,0,15,0
2020/3/10,Hong Kong,3,1,0
2020/3/10,Gansu,1,0,0
2020/3/10,Hubei,17,1255,16
2020/3/10,Jiangxi,0,4,0
2020/3/10,Hunan,0,11,0
2020/3/10,Beijing,1,5,0
2020/3/10,Guangxi,0,4,0
2020/3/10,Guizhou,0,6,0
2020/3/10,Chongqing,0,7,0
2020/3/10,Heilongjiang,0,4,0
2020/3/11,Shaanxi,0,4,0
2020/3/11,Taiwan,1,0,0
2020/3/11,Neimenggu,0,1,0
2020/3/11,Chongqing,0,7,0
2020/3/11,Henan,1,2,0
2020/3/11,Ningxia,0,1,0
2020/3/11,Zhejiang,0,4,0
2020/3/11,Shanghai,0,1,0
2020/3/11,Guangdong,3,8,0
2020/3/11,Hubei,13,1391,22
2020/3/11,Guangxi,0,4,0
2020/3/11,Shandong,2,7,0
2020/3/11,Heilongjiang,1,2,0
2020/3/11,Gansu,2,0,0
2020/3/11,Sichuan,0,10,0
2020/3/11,Hong Kong,8,5,0
2020/3/11,Guizhou,0,4,0
2020/3/11,Beijing,6,6,0
2020/3/11,Jiangxi,0,5,0
2020/3/11,Shanxi,0,3,0
2020/3/11,Hunan,0,5,0
2020/3/12,Jiangsu,0,2,0
2020/3/12,Hebei,0,1,0
2020/3/12,Shanghai,0,1,0
2020/3/12,Shandong,0,8,0
2020/3/12,Taiwan,1,3,0
2020/3/12,Tianjin,0,1,0
2020/3/12,Hubei,8,1184,10
2020/3/12,Liaoning,0,1,0
2020/3/12,Hunan,0,4,0
2020/3/12,Sichuan,0,10,0
2020/3/12,Jilin,0,1,0
2020/3/12,Heilongjiang,0,5,0
2020/3/12,Guangdong,0,7,0
2020/3/12,Shanxi,0,1,0
2020/3/12,Hainan,0,1,0
2020/3/12,Jiangxi,0,2,0
2020/3/12,Hong Kong,3,2,0
2020/3/12,Chongqing,0,5,0
2020/3/12,Guangxi,0,3,0
2020/3/12,Guizhou,0,4,0
2020/3/12,Beijing,0,8,0
2020/3/12,Zhejiang,0,2,0
2020/3/12,Shaanxi,0,0,1
2020/3/13,Beijing,1,8,0
2020/3/13,Hebei,0,2,0
2020/3/13,Guangxi,0,2,0
2020/3/13,Heilongjiang,0,5,0
2020/3/13,Jiangsu,0,1,0
2020/3/13,Guizhou,0,3,0
2020/3/13,Hubei,5,1235,6
2020/3/13,Chongqing,0,10,0
