broken year,industry,location,funded status,survival time,cause of failure
2019,Finance,Shanghai,Series B,1730,supervision
2019,Finance,Zhejiang,Series A,2214,supervision
2019,Health,Guangdong,No Funding,1887,get outcompeted
2019,E-Commerce,Fujian,No Funding,727,ran out of cash
2019,Health,Beijing,No Funding,1750,supervision
2019,Health,Beijing,Angel Round,229,no business model
2019,Education,Shanghai,No Funding,8622,ran out of cash
2019,Transportation,Hunan,No Funding,763,burn out
2019,Tool,Guangdong,Series A,914,no business model
2019,E-Commerce,Beijing,Acquired,4136,pivot gone bad
2019,Finance,Shanghai,Series A,1726,supervision
2019,Local Business,Guangdong,Series A+,1603,burn out
2019,Education,Beijing,No Funding,1602,no business model
2019,Real Estate,Jiangsu,No Funding,1193,ran out of cash
2019,Marketing,Shanghai,No Funding,1888,pivot gone bad
2019,E-Commerce,Beijing,Series C,3924,ran out of cash
2019,Entertainment,Shanghai,No Funding,3768,ran out of cash
2019,E-Commerce,Zhejiang,No Funding,556,ran out of cash
2019,Finance,Shanghai,No Funding,2644,supervision
2019,Finance,Shanghai,Series A,2034,supervision
2019,Finance,Shanghai,Strategic,1577,supervision
2019,Finance,Sichuan,Series A,1757,ran out of cash
2019,Health,Guangdong,No Funding,2454,no market need
2019,Game,Shanghai,No Funding,589,no business model
2019,Finance,Beijing,No Funding,1443,supervision
2019,Transportation,Beijing,Angel Round,1381,burn out
2019,Health,Shanghai,Series B+,2133,no business model
2019,E-Commerce,Beijing,Seed Round,1461,no market need
2019,Local Business,Zhejiang,Seed Round,1126,no business model
2019,Local Business,Shanghai,Series A,1522,no market need
2019,Social Media,Beijing,Angel Round,1522,ran out of cash
2019,Health,Beijing,No Funding,1612,pivot gone bad
2019,Finance,Beijing,Angel Round,516,supervision
2019,Enterprise Service,Beijing,Angel Round,1400,product mistimed
2019,Finance,Hebei,No Funding,1400,supervision
2019,Hardware,Beijing,No Funding,1612,no market need
2019,Finance,Beijing,Angel Round,1492,no market need
2019,Local Business,Beijing,Angel Round,1278,ran out of cash
2019,Transportation,Beijing,Acquired,1553,get outcompeted
2019,Entertainment,Zhejiang,Angel Round,1431,no business model
2019,Social Media,Jiangsu,Angel Round,1431,no market need
2019,Local Business,Beijing,Series A,822,poor product
2019,E-Commerce,Zhejiang,Seed Round,638,no market need
2019,E-Commerce,Beijing,Series A,1581,burn out
2019,Finance,Shanghai,No Funding,1247,no business model
2019,Entertainment,Beijing,No Funding,2252,no business model
2019,Finance,Shanghai,No Funding,1247,no business model
2019,E-Commerce,Guangdong,Series A,1461,no market need
2019,E-Commerce,Shanghai,No Funding,1065,no business model
2019,E-Commerce,Beijing,Angel Round,1492,no business model
2019,Education,Beijing,Angel Round,1431,no business model
2019,Transportation,Zhejiang,Series A,1431,pricing/cost issue
2019,Real Estate,Hubei,Angel Round,1612,get outcompeted
2019,Tool,Beijing,Angel Round,1216,no market need
2019,Enterprise Service,Jiangsu,No Funding,1400,get outcompeted
2019,Transportation,Shanghai,Angel Round,1553,get outcompeted
2019,E-Commerce,Beijing,Angel Round,1339,pricing/cost issue
2019,Enterprise Service,Shaanxi,Angel Round,1581,no investor interest
2019,Sports,Beijing,No Funding,1247,pricing/cost issue
2019,Social Media,Beijing,No Funding,1461,no market need
2019,Health,Beijing,Angel Round,1612,no business model
2019,Social Media,Beijing,Angel Round,1522,no market need
2019,E-Commerce,Beijing,Series A,1522,product mistimed
2019,Entertainment,Zhejiang,Angel Round,881,lose focus
2019,Local Business,Fujian,Angel Round,1461,no market need
2019,Local Business,Shanghai,Angel Round,1581,no market need
2019,Transportation,Shanghai,Angel Round,1247,get outcompeted
2019,Enterprise Service,Henan,No Funding,547,pivot gone bad
2019,Real Estate,Guangdong,Series A,1553,supervision
2019,Enterprise Service,Zhejiang,Angel Round,1369,product mistimed
2019,Entertainment,Beijing,Angel Round,1612,no market need
2019,E-Commerce,Beijing,Angel Round,1461,no market need
2019,Social Media,Zhejiang,Angel Round,1431,no business model
2019,Tool,Zhejiang,Pre-A Round,1492,no business model
2019,Finance,Zhejiang,Angel Round,730,supervision
2019,Local Business,Beijing,Seed Round,1216,no investor interest
2019,Health,Beijing,Angel Round,1431,no investor interest
2019,E-Commerce,Sichuan,Series A+,1612,no market need
2019,Real Estate,Shanghai,Series A,1461,burn out
2019,Tool,Guangdong,Angel Round,1369,no market need
2019,Transportation,Beijing,Angel Round,1612,burn out
2019,Tool,Hubei,Angel Round,1492,no market need
2019,E-Commerce,Beijing,No Funding,1339,no market need
2019,E-Commerce,Beijing,Angel Round,1126,no market need
2019,E-Commerce,Beijing,No Funding,1339,no investor interest
2019,Health,Guangdong,No Funding,1156,no business model
2019,Game,Shanghai,Angel Round,608,no business model
2019,Finance,Shanghai,Angel Round,1612,supervision
2019,Transportation,Zhejiang,Series B,1065,burn out
2019,Enterprise Service,Guangdong,Angel Round,1461,no market need
2019,E-Commerce,Beijing,Angel Round,1553,get outcompeted
2019,E-Commerce,Hubei,No Funding,1278,no business model
2019,Social Media,Beijing,Angel Round,1369,no business model
2019,Finance,Beijing,Angel Round,1612,no market need
2019,Finance,Beijing,Angel Round,1278,no business model
2019,Local Business,Beijing,Angel Round,912,get outcompeted
2019,Enterprise Service,Zhejiang,Angel Round,1187,product mistimed
2019,Health,Beijing,Acquired,1612,no business model
2019,Health,Beijing,Acquired,1612,no business model
2019,Tool,Beijing,No Funding,1278,no market need
2019,Enterprise Service,Anhui,No Funding,1522,no investor interest
2019,Social Media,Shanghai,No Funding,1247,no market need
2019,Local Business,Sichuan,No Funding,1369,no market need
2019,Travel,Chongqing,Angel Round,1431,no market need
2019,Enterprise Service,Sichuan,Angel Round,1461,no business model
2019,Local Business,Zhejiang,Seed Round,912,no market need
2019,Social Media,Beijing,Angel Round,1581,no market need
2019,Logistics,Beijing,No Funding,1553,get outcompeted
2019,Health,Beijing,No Funding,1400,pricing/cost issue
2019,Real Estate,Guangdong,Series A,1461,product mistimed
2019,Enterprise Service,Sichuan,No Funding,1400,no business model
2019,Social Media,Guangdong,Angel Round,1612,no market need
2019,Social Media,Beijing,Strategic,547,founder
2019,Enterprise Service,Beijing,Series A,1461,pivot gone bad
2019,Finance,Beijing,No Funding,1156,supervision
2019,Education,Beijing,Seed Round,1553,product mistimed
2019,Enterprise Service,Beijing,Angel Round,1247,pivot gone bad
2019,Hardware,Zhejiang,No Funding,1278,pricing/cost issue
2019,Finance,Shanghai,No Funding,1492,no business model
2019,Education,Shaanxi,No Funding,1581,get outcompeted
2019,Social Media,Zhejiang,Angel Round,1553,no business model
2019,Social Media,Beijing,Angel Round,1308,poor product
2019,E-Commerce,Shanghai,Angel Round,1612,no investor interest
2019,E-Commerce,Beijing,Angel Round,1612,ran out of cash
2019,Social Media,Beijing,Pre-A Round,1522,no market need
2019,Enterprise Service,Beijing,Angel Round,1492,no market need
2019,Enterprise Service,Beijing,Series A,1612,pivot gone bad
2019,Transportation,Beijing,Angel Round,1612,product mistimed
2019,Finance,Zhejiang,No Funding,1431,no investor interest
2019,Transportation,Shanghai,Angel Round,1553,no business model
2019,Finance,Beijing,Acquired,1553,supervision
2019,Local Business,Beijing,Angel Round,1522,product mistimed
2019,Entertainment,Jiangsu,No Funding,1369,no business model
2019,Game,Sichuan,No Funding,396,ran out of cash
2019,Local Business,Overseas,Series A,1612,burn out
2019,Transportation,Beijing,Pre-A Round,1461,product mistimed
2019,Finance,Zhejiang,Series B,1753,supervision
2019,Finance,Zhejiang,Series B,1927,legal challenges
2019,E-Commerce,Shanghai,Acquired,3499,pivot gone bad
2019,Local Business,Guangdong,Strategic,637,founder
2019,Enterprise Service,Beijing,Series A,1396,founder
2019,Enterprise Service,Beijing,Angel Round,1364,get outcompeted
2019,Finance,Zhejiang,Series B,1863,legal challenges
2019,Transportation,Guangdong,Series A,764,founder
2019,E-Commerce,Shanghai,Series A,883,no business model
2019,Logistics,Beijing,Strategic,3074,ignore customers
2019,Finance,Guangdong,Series D,2800,supervision
2019,Entertainment,Shanghai,Series B,1368,burn out
2019,Finance,Guangdong,Angel Round,3126,supervision
2019,Enterprise Service,Beijing,Series B,1726,product mistimed
2019,Enterprise Service,Hubei,No Funding,1419,ran out of cash
2019,Education,Shanghai,Pre-A Round,2052,no market need
2019,Local Business,Beijing,Series B,1798,team/investors
2019,Entertainment,Shanghai,Angel Round,1943,no business model
2019,Education,Shanghai,Series B+,2336,product mistimed
2019,Real Estate,Shanghai,Series E,1705,burn out
