Year,Brand,Category,Sales
2007,BMW,Compact,142490
2008,BMW,Compact,112464
2009,BMW,Compact,90960
2010,BMW,Compact,100910
2011,BMW,Compact,94371
2007,BMW,Compact,54142
2007,BMW,Fullsize,14773
2008,BMW,Fullsize,12276
2009,BMW,Fullsize,9254
2010,BMW,Fullsize,12253
2011,BMW,Fullsize,11299
2008,BMW,Midsize,45915
2009,BMW,Midsize,40109
2010,BMW,Midsize,39488
2011,BMW,Midsize,51491
2007,BMW,Sporty,9033
2008,BMW,Sporty,6533
2009,BMW,Sporty,3549
2010,BMW,Sporty,2418
2011,BMW,Sporty,3903
2007,BMW,Sporty,10097
2008,BMW,Sporty,5879
2009,BMW,Sporty,3523
2010,BMW,Sporty,3804
2011,BMW,Sporty,3479
2007,BMW,Subcompact,11018
2008,BMW,Subcompact,12018
2009,BMW,Subcompact,11182
2010,BMW,Subcompact,13132
2011,BMW,Subcompact,8832
2007,BMW,SUV,28058
2008,BMW,SUV,17622
2009,BMW,SUV,6067
2010,BMW,SUV,6075
2011,BMW,SUV,27793
2007,BMW,SUV,35202
2008,BMW,SUV,31858
2009,BMW,SUV,27071
2010,BMW,SUV,35776
2011,BMW,SUV,40547
2007,BMW,SUV,2548
2008,BMW,SUV,4548
2009,BMW,SUV,4787
2010,BMW,SUV,6257
2011,BMW,SUV,6192
2007,Ford,Compact,173213
2008,Ford,Compact,195823
2009,Ford,Compact,160433
2010,Ford,Compact,172421
2011,Ford,Compact,175717
2007,Ford,Fullsize,60901
2008,Ford,Fullsize,48557
2009,Ford,Fullsize,33255
2010,Ford,Fullsize,33722
2011,Ford,Fullsize,46725
2007,Ford,Fullsize,68178
2008,Ford,Fullsize,52667
2009,Ford,Fullsize,45617
2010,Ford,Fullsize,68859
2011,Ford,Fullsize,63526
2007,Ford,Midsize,149552
2008,Ford,Midsize,147569
2009,Ford,Midsize,180671
2010,Ford,Midsize,219219
2011,Ford,Midsize,248067
2007,Ford,Pickup,72711
2008,Ford,Pickup,65872
2009,Ford,Pickup,55600
2010,Ford,Pickup,55364
2011,Ford,Pickup,70832
2007,Ford,Sporty,134626
2008,Ford,Sporty,91251
2009,Ford,Sporty,66623
2010,Ford,Sporty,73716
2011,Ford,Sporty,70438
2007,Ford,Subcompact,21273
2008,Ford,Subcompact,22273
2009,Ford,Subcompact,22473
2010,Ford,Subcompact,23273
2011,Ford,Subcompact,68574
